Vendor,Supplier
JOI,JOI Guitars
JOYO Technologies,B&J Music
Kanile`a,Kanile`a
Ken Smith,Ken Smith
Kerly Music USA,Kana Music
Kinal,Kinal
Kluson,Yorkville Sound
Kramer Guitars,Yorkville Sound
KTS Titanium Hardware,AP International
Kwasnycia Guitars,Kwasnycia Guitars
Kyser,B&J Music
La Bella,Music 8
L�g,Coast Music
Larriv�e,Jean Larriv�e
Latch Lake,Latch Lake
Le Marquis,Kana Music
Loog,Hal Leonard
Loucin,Loucin
LR Baggs,Yorkville Sound
Luna Guitars,Armadillo Enterprises
Luxxtone,Blaze Music
Madera,Kana Music
Maestro Electronics,Yorkville Sound
Manuel Rodriquez,B&J Music
Michael Kelly Guitars,Hal Leonard
Morgan Guitars,Morgan Guitars
Morgan Monroe,Chesbro Music
Morifone,Morifone
MRG,Eastwood Guitars
MRG Studio,Eastwood Guitars
National Reso-Phonic Guitars,"National
Reso-Phonic"
New Century Series.,Conklin Guitars
Next Gen Parts,Next Gen Musical
Norman,Godin
Olympia,Kana Music
Ortega Guitars,Meinl USA
Oscar Schmidt,Erikson Music
Ovation,B&J Music
Ozark Instruments,Counterpoint
Paige Capos,Blaze Music
Palermo,Palermo
Paul Reed Smith - PRS,Paul Reed Smith
Perfection Pegs,St. Louis Music
Picks by the Pound,Harris Musical
Pilgrim,JHS
Ping,B&J Music
Prestige Guitars,Prestige
Pure Tone Technologies,Blaze Music
Quilter Labs,SFM
RainSong,RainSong
Ray Ross Saddle-Less Bridge,AP International
Rayco,Rayco
Razor Pickups,Allparts
Regal,Saga Musical
Rickenbacker,Rickenbacker
Riversong,Riversong
Riversong Wooden Picks,Riversong
Rivolta,Eastwood Guitars
Rotosound,Yorkville Sound
Rowin,"Kana Music, Music 8"
Sadowsky,Framus & Warwick
Santa Cruz,Santa Cruz
Santos Martinez,JHS
Schaller,Coast Music
Schatten Design,Schatten Design
Schatten Pickups,Next Gen Musical
Schecter,Erikson Music
Scheerhorn Guitars,National Reso-Phonic
Seagull,Godin
Seymour Duncan,Erikson Music
Shadow,D'Addario Canada
Sheeran by Lowden,Launch Music
Shergold Guitars,5th Crown
Shubb,Coast Music
Sidejack,Eastwood Guitars
Sigma,Coast Music
Simon & Patrick,Godin
Sintoms,Allparts
Sire,Coast Music
SIT,Blaze Music
Smith Pro Polish,Ken Smith
SonoTone,SonoTone
Source Audio,"Audio Distributors
International"
Spector,Korg USA
Sperzel,Sperzel
Spider Capo,Audionova
Squier,Fender
Steinberger,Yorkville Sound
Stone Tone Products,AP International
Stonebridge,"Stonebridge)

Switchcraft/Conxall"
Takamine,B&J Music
Tanara Guitars,Chesbro Music
Taylor,Taylor Guitars
Teton,Chesbro Music
The Bill Edwards Fretboard,Bill Edwards
The Music Link,Blaze Music
The Original Cat Tongue Picks,"Yorkville
Sound"
The Rock Slide,Yorkville Sound
Timber Tones,Harris Musical
Timeless Instruments,Timeless Instruments
Toby Basses,Yorkville Sound
Tone,Kana Music
TonePros,Blaze Music
ToneWoodAmp,HONZ
Towner,Next Gen Musical
Traveler,Traveler Guitars
Tribute by G&L,G&L
Tune Tech,Chesbro Music
US Blues,Harris Musical
VALCO,Eastwood Guitars
Valencia,Coast Music
Vega-Trem,Audionova
Veillette,Veillette
Vimex,Next Gen Musical
Vintage,5th Crown
Walden,Coast Music
Warren Ellis,Eastwood Guitars
Warwick,Framus & Warwick
Washburn,"Erikson Music)

Weber Mandolins"
WD Music,Yorkville Sound
WD Pickguards,Yorkville Sound
Wyres,Wyres
Zer0 Glide,Yorkville Sound
Zion,"Zion Guitar)
Instrument Amplifiers, Pedals & Accessories
1981 Inventions"
Aguilar,Korg USA
Alexander Pedals,Search & Distro
Ashdown,Yorkville Sound
Baroni Lab,Search & Distro
BBE,BBE Sound
Beetronics,Search & Distro
Belcat,Harris Musical
Benson Amps,Search & Distro
Big Tone Music Brewery,Search & Distro
Blackstar,Korg USA
BOSS,Roland Canada
Budda Amplification,Peavey
Caroline Guitar Company,Search & Distro
Celestion,"McBride, Q-Components"
Chase Bliss Audio,Chase Bliss Audio
Cicognani Engineering,"Godlyke)

CANADIAN MUSIC TRADE 53

Cioks"
Composite Acoustics,Peavey
CopperSound,CopperSound
Cusack Music,Search & Distro
Damnation Audio,Search & Distro
Danelectro,"D'Addario Canada)

58 CANADIAN MUSIC TRADE

e-Tuner"
Darkglass,Korg USA
DC Voltage,Blaze Music
Dedalo Fx,Golden Hawk
Demeter,Demeter
Diamond Amplification,"Diamond
Amplification"
DigiTech,Erikson Music
Disaster Area Designs,Search & Distro
DV Mark,Erikson Music
Eastwood Black Box Series,"Eastwood
Guitars"
EBS,Launch Music
Electro-Harmonix,Electro-Harmonix
Eminence,"McBride, Q-Components"
EMMA Electronic,Godlyke
Empress,Empress Effects
Eventide,Eventide
Fortin,Fortin
FoxGear Pedals,Search & Distro
Frost Giant Electronics,Search & Distro
Fuzzrocious Pedals,Search & Distro
GFI System,Search & Distro
Gorilla,Pignose-Gorilla
Greenhouse Effects,Search & Distro
Greer Amps,Search & Distro
Gurus Pedals,Search & Distro
Hammond,Music Marketing
Hartke,Yorkville Sound
Haunted Labs,Search & Distro
HeadRush,inMusic
Hilbish Design,Search & Distro
Hotone,Hal Leonard
Hughes & Kettner,Yorkville Sound
IdiotBox Effects,Search & Distro
Industrialectric,Industrialectric
ISP Technologies,ISP Technologies
Jescar,Next Gen Musical
JET Pedals,Search & Distro
Kager,Pignose-Gorilla
Kayline,Next Gen Musical
Keeley Electronics,SFM
Korg,Korg Canada
Laney,Launch Music
LunaStone,LunaStone
Mad Professor,Mad Professor
Markbass,Erikson Music
Marshall,Erikson Music
Mastery Bridges,Search & Distro
Maxon,KO Music
Mesa/Boogie,"Mesa/Boogie, Yorkville Sound"
Milkman Sound,Search & Distro
Mission Engineering,Mission Engineering
Mojo Hand,Search & Distro
Monster Effects,Search & Distro
Montreux Pedals,Search & Distro
Morley Pedals,Hal Leonard
Nektar,Music Marketing
NUX,B&J Music
Nux,Kana Music
Orange Amplification,Launch Music
Outlaw Effects,SFM
OverToner,Sherlock Audio
Oxygen,Oxygen Audio
Peavey,Peavey
Pedaltrain,KO Music
Penn Elcom,Next Gen Musical
Pignose,Pignose-Gorilla
Pigtronix,B&J Music
Radias,Sherlock Audio
Rainger FX,Search & Distro
Randall Amplification,B&J Music
Red Panda,Hal Leonard
Revv,Revv
Rivera,Rivera
RockBoard by Warick,Launch Music
Ruby Tubes,Audionova
"Simble Mad Professor

Singular Sound",Launch Music
Soundtech,Coast Music
Spaceman Effects,Search & Distro
SpeakerMate,Sherlock Audio
Stagecraft,Mission Engineering
Stringjoy,Search & Distro
Subdecay,Search & Distro
Supro,B&J Music
Switchcraft/Conxall,Next Gen Musical
Tape Audio Co.,Search & Distro
Tech 21,Tech 21
Teisco,SFM
Temple Audio,Temple Audio
ThorpyFX,Search & Distro
Tom's Lee,Kana Music
ToneChamber,Sherlock Audio
Tortuga Effects,Search & Distro
Trace Elliot,Peavey
Transparence,Transparence
Traynor,Yorkville Sound
Truetone,Yorkville Sound
TWA Fly Boys,Godlyke
TWA Hand Built,Godlyke
Two Notes Engineering,SFM
Typhoon,D'Addario Canada
UnderCab,Sherlock Audio
Universal Audio,YSL Pro
Vertex,Hal Leonard
Vox,Korg Canada
Warehouse Guitar Speakers,Diffusion Audio
Wendell Fabrics/Mellotone,"Next Gen
Musical"
WMD,Search & Distro
Wren and Cuff Pedals,Search & Distro
XSonic,Diffusion Audio
XVIVE,Yorkville Sound
Yamaha,Yamaha Canada
Zander Circuitry,"Search & Distro)
Other Stringed Instruments & Accessories
Akord Kvint"
Alabama,Coast Music
Alisyn,Aerospace Lubricants
Aloha,"Kana Music)

Alvarez"
Amy Birch,Coast Music
Anton Breton,Saga Musical
Antoni,JHS
Antonio Scarlartti,Sinoman Music
Apple Creek,Coast Music
Aquila,Coast Music
Aquila Corde,Kanile'a
Arcos,Bosco Violin
Arcos Brasil,The Sound Post
Aubert,Bosco Violin
Augustine,Coast Music
Bois d'Harmonie,Bosco Violin
Cadenza,Bosco Violin
Camac Harps,Jules Saint-Michel
Celes,Celestial Musical
Celestial Sound,Celestial Musical
Corelli,"Jules Saint-Michel, The Sound Post"
Cremona,Saga Musical
D'Addario Orchestral,D'Addario Canada
Deering Banjos,Deering
Despiau,Bosco Violin
Diamond Head,"B&J Music, Saga Musical"
Doerfler,Bosco Violin
D�rfler Bows,Jules Saint-Michel
Dusty Strings,Dusty Strings
Eastar,Donner
Eastman,Eastman Music
Eddy Fin,Chesbro Music
Emus,Empire Music
Everest Shoulder Rests,Counterpoint
Flight Instruments,Hal Leonard
Walton Irish,Hal Leonard
GEWA,Bosco Violin
Giovanni Viotti,Sinoman Music
Glasser,Bosco Violin
Gold Tone,Yorkville Sound
Goldbrokat,Counterpoint
Goodtime,Deering
Gotz,Geo. Heinl
Hamano,Saga Musical
Harpsicle Harps,Counterpoint
Headway Music Audio,Counterpoint
Heinrich Gill,Geo. Heinl
Hidersine,Counterpoint
Hill,Counterpoint
Hohner,Coast Music
Honolua Ukuleles,Honolua Ukuleles
Hora,Counterpoint
Islander by Kanile`a,Kanile`a
Jargar,"Bosco Violin, Counterpoint, Geo.
Heinl, Jules Saint-Michel, The Sound Post)

Jay Haide"
Kahua,Hal Leonard
Kahuna,AP International
Kala,Coast Music
Keith,Beacon Banjo
Kentucky Mandolins,Saga Musical
Knilling,St. Louis Music
Knoll,The Sound Post
Korolia,Bosco Violin
Kun Shoulder Rest,"Bosco Violin, Coast Music,
Counterpoint, Jules Saint-Michel, Kun Shoulder"
Laka,"5th Crown, JHS"
Larsen,Bosco Violin
Leho Ukuleles,Yorkville Sound
Lenzner,Jules Saint-Michel
Mach,"Bosco Violin, Jules Saint-Michel"
Mahalo,Coast Music
Menzel,Coast Music
Ming Jiang Zhu,Sinoman Music
Ohana,Groove Masters
Piastro,Geo. Heinl
Pirastro,"Bosco Violin, Counterpoint, Jules Saint-Michel, The Sound Post"
Primo,Sinoman Music
Revelle Bows,Counterpoint
Rocky Top,Chesbro Music
Roth,Jules Saint-Michel
Sandner,Jules Saint-Michel
Savarez,Coast Music
Selmer USA,Conn-Selmer
Stentor,Counterpoint
Stretto,Bosco Violin
Strunal,"Geo. Heinl, Jules Saint-Michel"
Super-Sensitive - Red Label,D'Addario Canada
Suzuki,Alfred Music
Teller,Bosco Violin
Tempel,Bosco Violin
Tenbrooks,Deering
Thomastik-Infeld,"Bosco Violin, Coast Music, Counterpoint, Geo. Heinl, Jules SaintMichel, The Sound Post"
Vega,Deering
Vincenzo Bellini,Sinoman Music
Viva,Bosco Violin
W.E. Hill & Sons,Coast Music
Warchal,Bosco Violin
Westminster,Bosco Violin
Wittner,"Coast Music, Counterpoint)
Cables & Interconnect Products
Accu Cable"
Wolf,"Bosco Violin, Jules Saint-Michel"
Xue Chang Xun,Sinoman Music
Zev,"D'Addario Canada)
Pianos, Keyboards, Synthesizers & Accessories
Acorn Instruments"
Albert Weber,PAL Sound
Allen Audio,Schmidt Piano
Applied Acoustic Systems,"Applied Acoustic
Systems"
Arturia,Korg Canada
Ashun Sound Machines,B&J Music
Baldwin,Baldwin
Boston,Steinway & Sons
Broadway,Kana Music
Casio,SFM
Classic MIDI Works,Artisan Classic
Classic Organ Works,Artisan Classic
Concerto,GRK Manufacturing
Cory Keyboard Products,Counterpoint
Dabell,Golden Hawk
Dexibell,Proel
Dubreq Stylophone,Dubreq
Eminent Church Organs,Schmidt Piano
Essex,Steinway & Sons
Harris Malodicas,Harris Musical
Humes & Berg,Humes & Berg
Intellijel,Intellijel
Jansen,Paul L. Jansen
Kawai,Kawai
Kayserburg,Loewen
Keytek,Kana Music
KV331,Music Marketing
M-Audio,inMusic
Mafco,GRK Manufacturing
Medeli,B&J Music
MIDIjet Pro,Artisan Classic
Mobileer,GRK Manufacturing
Modal Electronics,YSL Pro
Moog Music,SFM
Nord,Erikson Music
Novation,Erikson Audio
Pearl River,Loewen
PianoDisc,PianoDisc
Ritm�ller,Loewen
Roland,Roland Canada
Schmidt Classique Schoenhut,Golden Hawk
Shigeru Kawai,"Kawai)

CANADIAN MUSIC TRADE 55

Steinway & Sons"
Studiologic,B&J Music
Viscount,"Artisan Classic, Schmidt Piano)"
Weber,PAL Sound
Wren,GRK Manufacturing
Young Chang,"PAL Sound)
Band Instruments & Accessories
AirStream"
Al Cass,Counterpoint
Amati Heritage,Amati USA
Amati Vantage,Amati USA
American Classic Kazoos,D'Addario Canada
Antigua,St. Louis Music
Antoine Courtois,Buffet Crampon
Armstrong,Conn-Selmer
Aulos,Empire Music
B&S,Buffet Crampon
Backun,"Backun, Eastman Music"
Bari,Bari Woodwinds
Besson,Buffet Crampon
BG Franck Bichon,Counterpoint
Blessing,St. Louis Music
Boveda,Counterpoint
Buffet Crampon,Buffet Crampon
"C.G. Conn, Holton, King",Conn-Selmer
Ch�teau,Ch�teau Music USA
Chopsaver,Counterpoint
Clarke Tin Whistle,Counterpoint
Compass Ligatures,St. Louis Music
D'Addario Woodwinds,D'Addario Canada
Delta Blues,Coast Music
Dolmetsch,Counterpoint
Dukoff,Bobby Dukoff 
Edwards,Getzen
F.E. Olds,F.E. Olds
Flavoreeds,Flavoreeds
G. Leblanc Group,Conn-Selmer
Gabbanelli,Gabbanelli
Gemeinhardt,Gemeinhardt
Generation,"Coast Music)

Getzen"
Griego,Getzen
Hall Crystal Flutes,Hall Crystal Flutes
Hans Hoyer,Buffet Crampon
Harmon Mutes,Counterpoint
Henri Selmer Paris,Conn-Selmer
Hering Harmonicas,Kelley Distribution
Hite,JJ Babbitt
HW Brass-Saver,St. Louis Music
HW Pad-Saver,St. Louis Music
J. Scherzer,Buffet Crampon
JHS Hornby,JHS
JJ Babbitt,JJ Babbitt
JodyJazz,JodyJazz
Jones Double Reed Products,Counterpoint
Josef Teller,Counterpoint
JT Lamy Bows,Counterpoint
Julius Keilwerth,Buffet Crampon
Juno,Coast Music
Jupiter,Coast Music
Laskey,Laskey
Lee Oskar,B&J Music
Legere Reeds,Counterpoint
Marca Reeds,Counterpoint
Marcinkiewicz,Marcinkiewicz
Meinl,Meinl USA
Melton Meinl Weston,Buffet Crampon
Meyer,JJ Babbitt
Meyer Bros.,JJ Babbitt
Montford,Counterpoint
Mr. Music,Flavoreeds
Mukikim,Golden Hawk
Mutec Mutes,Counterpoint
Narragansett,Harris Musical
Odyssey,SFM
Otto Link,JJ Babbitt
P. Mauriat,St. Louis Music
Paremenon,Buffet Crampon
Pearl Flutes,Pearl
Phaeton,PJLA Music
Piemaria Accordions,FRM Enterprises
Piper's Choice,Scott's Highland
Pops' Products,"Counterpoint)

Prestini"
Re.corder,Proel
ReedGeek,Counterpoint
Revolution Drum,Golden Hawk
Reynolds,F.E. Olds
Rigoutat,Buffet Crampon
Rohema Percussion,Golden Hawk
Rovner Products,"Counterpoint, Rovner"
S.E. Shires,Eastman Music
Sax Dakota USA,PJLA Music
Seydel Harmonicas,Counterpoint
Sinclair,Coast Music
Snareweight,Golden Hawk
Stack Ring Percussion,Golden Hawk
Stageworks Gear,Golden Hawk
Sugal Mouthpieces,Sugal Mouthpieces
Techra,Golden Hawk
Tony Dixon Whistles,Counterpoint
Tuner Fish Lug Locks,Golden Hawk
Ultra-Pure Oils,Counterpoint
Vandoren,Coast Music
Verne Q. Powell,Buffet Crampon
Vincent Bach,Conn-Selmer
W. Schreiber,Buffet Crampon
Warwick Music Group,St. Louis Music
Wm. Kratt,Counterpoint
Wm. S. Haynes,Eastman Music
Xeros,Counterpoint
XO,Coast Music
Yanagisawa,Conn-Selmer
Zonda,"St. Louis Music)
Drums, Percussion Products & Accessories
2Box"
Adams,Pearl
Ahead Products,Big Bang
Alice,Kana Music
Amedia Cymbals,Golden Hawk
Baldman,Baldman
Balter Mallets,"Coast Music)

56 CANADIAN MUSIC TRADE

Bass Drum O's"
Bergerault Percussions,Hoshino USA
Big Fat Snare Drum,"Big Bang, Golden Hawk"
Boomwhackers,B&J Music
Bosphorus Cymbals,Golden Hawk
Buckaroo,Harris Musical
Carlsbro,Coast Music
Crazy Johns Polish,Big Bang
Cymbag,Big Bang
Cymbal Crown,Big Bang
Cymbal Sox,Cymbal Sox
Cympad,"Big Bang, Golden Hawk"
Danmar,Big Bang
ddrum,Armadillo Enterprises
DG Cajons,Big Bang
Dixon,"B&J Music, St. Louis Music"
Drum Doctor,Wyres
Drum N Base,Big Bang
Drum Workshop,"B&J Music, Drum
Workshop"
Drum Wraps by Lumigraf,Lumigraf 
Drumdial,Big Bang
Drumtacs,Big Bang
DS Drum,DS Drum
Dunnett Classic,Dunnett Classic
Dunnett Parts & Drum Heads,Big Bang
Eccentric Systems,Big Bang
Eucatape,Big Bang
Evans,D'Addario Canada
Fat Cat Snappy Snares,Big Bang
Finhol,Big Bang
FLIX,Big Bang
Gauger Percussion,Big Bang
George Way Drum Co.,Dunnett Classic
Gibralter,B&J Music
GMP,Groove Masters
GMP AirDrum,Groove Masters
Gon Bops,Gon Bops
Gorilla Snot,Big Bang
Granite Percussion,Yorkville Sound
Groove Juice,Launch Music
Groove Masters Percussion,Groove Masters
Grover Pro,Golden Hawk
HeadHunters,HeadHunters
Heartbeat Percussion,"Heartbeat
Distributors"
Hendrix Drums Sleeved Washers,"Golden
Hawk"
Hingestix,Big Bang
IQ Plus,Hal Leonard
Istanbul Mehmet Cymbals,Tr�Root
Isthmus,Hal Leonard
Izzo,Groove Masters
Izzo Percussion,Kelley Distribution
Jingle Mute,"Big Bang)

K Brakes"
KASZA Cymbals,Big Bang
KAT Percussion,Hal Leonard
Kelly Shu,Big Bang
Key-Cussion,Big Bang
Kick Block,Big Bang
KickPort,Big Bang
KickPro Pillows,Big Bang
Kilpatrick Sticks,Scott's Highland
Kindermallets,Empire Music
LogJam,Big Bang
Los Cabos,Yorkville Sound
Ludwig,Conn-Selmer
Ludwig-Musser,Conn-Selmer
Majestic,Coast Music
Mano Kids,Coast Music
Mano Percussion,Coast Music
Mapex,Yorkville Sound
Meridian,Kana Music
Metrophones,Big Bang
Mic Holders,Big Bang
Milestone Percussion,Dunnett Classic
Moongel,B&J Music
Nativo Percussion,Big Bang
Nino Percussion,Meinl USA
No Nuts Percussion,No Nuts Percussion
Pacific Drums & Percussion,B&J Music
Pearl,"Erikson Music, Pearl"
Pinch Clips,Golden Hawk
Pinchclip,Big Bang
PP Drums,JHS
ProLogix Percussion,Coast Music
Promark,D'Addario Canada
Promuco Percussion,B&J Music
Puresound,D'Addario Canada
R Class,Dunnett Classic
RB,Coast Music
Regal Tip,Regal Tip
Remo,Coast Music
Res-O-Tone,Dunnett Classic
Rhythm Tech,Coast Music
Roc-N-Soc,Roc-N-Soc
Rogers Drums & Accessories,Big Bang
RTOM,Big Bang
S-Hoops,Big Bang
Sabian,Sabian
Sakae,Korg Canada
Schlagwek,Kelley Distribution
Slap Klatz,"Golden Hawk, Hal Leonard"
Slingerland,Drum Workshop
Dream Cymbals,Dream Cymbals
Slug Percussion,Big Bang
Sonor,Coast Music
Sonor Orff,Coast Music
Sticks by the Pound,"Harris Musical)

Studio 49"
Tackle Instrument Supply,Big Bang
Tama,Hoshino USA
Tamburo,Proel
The Drummer's Grip,Big Bang
Thumb Thang,Big Bang
Tightscrew,Big Bang
TnR True Vibe,Golden Hawk
Toca Percussion,Launch Music
Traps Drums,Kelley Distribution
TreeWorks,Big Bang
TRS Custom Drums,TRS Custom Drums
Turkish Cymbals,Tr�Root
Tycoon,D'Addario Canada
Vater,Erikson Music
Vic Firth,Coast Music
Viper,BRTB
Walton's Music,The James Trading
Waltons,Coast Music
Westbury,Coast Music
Zildjian,"Coast Music)
Bags, Cases, Straps, Racks, Stands, Mounts & Accessories
Ace"
Adam Hall Hardware,Adam Hall
AirTurn,Coast Music
Analog Cases,B&J Music
Anvil,Anvil Cases
Aria Lights,Counterpoint
Aroma,Kana Music
Ascot,Anvil Cases
Bam,Geo. Heinl
BAM,The Sound Post
Bam Franck,Counterpoint
Big Deal,Big Deal
Boblen,"Coast Music, Geo, Heinl"
Boulder,Geo. Heinl
Cabbage Cases,Cabbage Cases
Caisse Design,Caisse Design
Calzone,Anvil Cases
Cedar Creek Custom Cases,Cedar Creek
Chief,Legrand
Color Fold,Humes & Berg
Conquest,Impact Cases
Cooperstand,Launch Music
D&A,D'Addario Canada
Decksaver,Erikson Audio
Drumseeker,Humes & Berg
Drumslinger,Tough Traveler
E-Z Fold,Humes & Berg
ECM Cases,"Engineered Case)
CANADIAN MUSIC TRADE 57

Enduro"
Enduro Pro,Humes & Berg
Fiberlex Cases,Big Deal
FRM,FRM Enterprises
Galaxy,Humes & Berg
Gard Bags,Gard Bags
Gator,Erikson Music
Gator Frameworks,Erikson Audio
Gator Pro,Erikson Audio
GK,Kana Music
Gravity Stands,Adam Hall
Grundorf,Hal Leonard
Hamilton Stands,Hal Leonard
Hardcase,Hoshino USA
Hercules,Erikson Audio
Humicase,Cordoba Music
Ingles,B&J Music
Isovox,RAD Distribution
K&M,SFM
Kaces,Ace Products
Kinsman,JHS
Levy's,Levy's
Light Pack,Multi-Caisses
Lock-It Straps,Audionova
Loxx,Blaze Music
Manhasset,Coast Music
Mighty Bright,Small World
MONO,SFM
Multi-Pack,Multi-Caisses
Multi-Pro,Multi-Caisses
N-Case System,Big Deal
Nanuk Cases,Big Deal
Neotech,Coast Music
Nomad,Nomad Cases
Pelican,"Big Deal, Cabbage Cases, Engineered
Case, Georgia Case"
Perri's Leathers,Perri's Leathers
Piano Life Saver,"Dampp-Chaser)

Pig Hog Cables"
Pro-X,AVL Media
Profile,Coast Music
ProRock Gear,AP International
Protechtor,Erikson Music
Protection Racket,B&J Music
Quik-Lok,Erikson Music
RATstands,"RATstands, Small World MUSIC-
FOLDER, Yorkville Sound)"
Reunion Blues,"Ace Products, Kinal"
RichtOn Straps,Audionova
Road Boss,Multi-Caisses
RockGear by Warwick,Launch Music
RocknRoller Multi-Cart,Ace Products
Sabian Performance Accessories,Sabian
Samson Audio & Wireless,Yorkville Sound
Seasun,Harris Musical
Sequenz,Korg Canada
SKB,"Cabbage Cases, Georgia Case, Impact
Cases, Launch Music"
Sound Synergies,Audionova
Stage Mate,Chesbro Music
Stageline,B&J Music
Standback,Blaze Music
Stone Case,Chesbro Music
Storm,Engineered Case
Strukture,Ace Products
Superior Cases,Superior Cases
SwirlyGig,"Hal Leonard, SwirlyGig"
Target,Impact Cases
TCH,TCH Sales
TKL,TKL
Tough Traveler,Tough Traveler
Tour Rack,Multi-Caisses
TRIC Cases,Godin
Tuxedo,Humes & Berg
Ultimate Support,Ultimate Support
UNITEK,Techni+Contact
Wishbone,Blaze Music
Yorkville Sound,"Yorkville Sound)
Headphones, Hearing Protection, IEMs & Accessories
Alpine"
Cherub Technology,Kana Music
D'Addario Accessories,D'Addario Canada
Musedo,Kana Music
Peterson,Peterson Electro-Musical
Roadie 2,Hal Leonard
Seiko,B&J Music
Snark Tuners,Yorkville Sound
Tune-Bot,D'Addario Canada
Adam Hall Stage Equipment,Adam Hall
Amphenol,Rapco
Asterope,Fishman
AVPro Edge,SFM
Basix,BRTB
Belden,"BRTB, Cable Factory"
Bryston,Bryston
Bullet Train,SFM
C2G,Legrand
Cable Factory,Cable Factory
Canare,SFM
CBI Cables,Blaze Music
Contour,BRTB
Defender,Adam Hall
Digiflex,SFM
DLX Series,Yorkville Sound
Evidence Audio,Audionova
George L's,KO Music
Groove Factory,Kana Music
HOSA,Roland Canada
KMMK SquarePlugs,Next Gen Musical
Lava Cable,Rapco
Leem,Coast Music
